MedInc,HouseAge,AveRooms,AveBedrms,Population,AveOccup,Latitude,Longitude,BedroomRatio,RoomsPerPerson
1.6607,20.0,4.625,0.9847560975609756,1287.0,3.923780487804878,38.64,-121.46,0.2129202373104812,1.1787101787101788
3.4482,35.0,4.420743639921722,0.980430528375734,1340.0,2.6223091976516635,32.83,-117.21,0.22177954847277562,1.685820895522388
3.9917,35.0,4.609137055837564,0.9847715736040608,413.0,2.0964467005076144,37.96,-122.53,0.21365638766519815,2.1985472154963683
2.7401,41.0,5.412,1.144,751.0,3.004,33.94,-118.31,0.2113821138211382,1.8015978695073236
6.516,32.0,7.515151515151516,1.0129870129870129,602.0,2.606060606060606,37.92,-122.29,0.13479262672811057,2.8837209302325584
1.9107,37.0,4.53954802259887,1.0875706214689265,972.0,2.7457627118644066,38.62,-121.44,0.2395768512756689,1.653292181069959
3.1795,32.0,4.889830508474576,1.0084745762711864,1509.0,2.557627118644068,33.93,-117.42,0.20623916811091855,1.9118621603711066
7.2893,32.0,6.009779951100245,0.8777506112469438,967.0,2.3643031784841075,33.88,-117.93,0.14605370219690805,2.5418821096173736
2.7019,33.0,4.03150912106136,1.086235489220564,1854.0,3.074626865671642,37.67,-122.09,0.26943644590703414,1.3112189859762675
2.4012,18.0,5.234793187347932,1.020681265206813,5303.0,3.225669099756691,37.37,-120.5,0.19498024633976302,1.6228549877427871
5.7797,5.0,5.654320987654321,1.0923242082662372,4656.0,2.499194847020934,33.67,-117.67,0.19318397569774062,2.2624570446735395
1.5833,46.0,5.818930041152264,1.102880658436214,902.0,3.711934156378601,36.72,-119.81,0.18953323903818953,1.5676274944567627
3.6639,25.0,5.126482213438735,1.1172595520421609,1848.0,2.4347826086956523,34.12,-118.06,0.21793883320483168,2.1055194805194803
2.625,17.0,8.0920245398773,1.638036809815951,393.0,2.411042944785276,40.06,-124.08,0.20242608036391208,3.3562340966921123
3.2596,33.0,5.017656500802568,1.0064205457463884,2300.0,3.691813804173355,32.71,-117.03,0.20057581573896352,1.3591304347826085
1.375,52.0,2.697247706422018,1.1307339449541285,1136.0,2.6055045871559632,37.77,-122.42,0.41921768707483,1.0352112676056338
4.9904,5.0,7.843010752688172,1.2247311827956988,3123.0,3.358064516129032,34.6,-118.16,0.15615574444749108,2.335574767851425
4.0588,45.0,5.822274881516588,1.0545023696682465,1129.0,2.675355450236967,37.68,-122.13,0.18111518111518113,2.176262178919398
2.425,52.0,5.590804597701149,1.137931034482759,928.0,2.1333333333333333,39.22,-121.07,0.20353618421052636,2.6206896551724137
3.4643,30.0,4.441441441441442,1.0375375375375375,1616.0,2.4264264264264264,36.6,-121.84,0.23360378634212303,1.8304455445544556
2.425,28.0,4.174025974025974,1.0935064935064935,926.0,2.4051948051948053,36.96,-122.03,0.26197884256378345,1.7354211663066954
3.9688,30.0,6.60431654676259,1.1079136690647482,469.0,3.3741007194244603,37.61,-120.8,0.16775599128540306,1.9573560767590619
2.3438,34.0,2.45625,1.065625,1239.0,3.871875,34.07,-118.27,0.4338422391857507,0.6343825665859564
3.0132,44.0,4.094545454545455,1.0763636363636364,989.0,1.798181818181818,37.88,-122.27,0.26287744227353466,2.277047522750253
3.9375,17.0,10.357033023735813,2.127540822838997,202.0,2.525,39.19,-120.1,0.20541991301593696,4.101795256925074
2.9344,36.0,3.9867172675521823,1.079696394686907,1756.0,3.332068311195446,34.03,-118.38,0.27082341742027605,1.1964692482915718
5.7057,27.0,6.937007874015748,1.0971128608923884,1344.0,3.52755905511811,34.01,-117.98,0.158153613318199,1.9665178571428572
1.8715,34.0,2.942115768463074,1.0199600798403194,1962.0,3.9161676646706582,34.02,-118.16,0.34667571234735417,0.7512742099898064
2.1797,26.0,5.617283950617284,1.154320987654321,1001.0,3.0895061728395063,33.16,-116.68,0.20549450549450549,1.8181818181818181
4.2232,33.0,6.1896955503512885,1.0866510538641687,1015.0,2.377049180327869,37.46,-122.23,0.1755580779417329,2.6039408866995073
6.1684,13.0,6.2565445026178015,1.044502617801047,2795.0,3.6583769633507854,37.15,-121.64,0.16694560669456066,1.710196779964222
2.9063,52.0,6.590443686006826,1.1228668941979525,1025.0,3.4982935153583616,37.73,-122.39,0.17037804246504407,1.8839024390243904
3.375,24.0,5.58203125,0.998046875,1388.0,2.7109375,40.76,-124.15,0.1787963610916725,2.059077809798271
5.1155,35.0,5.68936170212766,0.9957446808510638,692.0,2.9446808510638296,33.91,-118.02,0.175018698578908,1.9320809248554915
3.5313,26.0,4.341530054644808,1.0382513661202186,883.0,2.412568306010929,33.8,-118.17,0.2391441157960982,1.799546998867497
6.3364,48.0,6.467576791808874,1.0034129692832765,881.0,3.006825938566553,33.84,-118.13,0.15514511873350925,2.1509648127128265
4.5179,22.0,6.133479212253829,0.9584245076586432,1234.0,2.700218818380744,36.83,-119.76,0.15626114876917588,2.271474878444084
5.5145,15.0,5.168384879725086,1.0103092783505154,1267.0,4.353951890034364,37.31,-121.82,0.1954787234042553,1.1870560378847674
3.0909,31.0,4.402777777777778,1.046875,2625.0,4.557291666666667,33.9,-118.18,0.23777602523659305,0.966095238095238
7.5385,37.0,6.666666666666667,1.0155555555555555,987.0,2.1933333333333334,37.89,-122.25,0.15233333333333332,3.0395136778115504
6.2064,29.0,5.780238500851789,0.9778534923339012,1471.0,2.5059625212947187,34.17,-118.58,0.16917182434423814,2.306594153636982
2.875,30.0,4.731152204836415,1.0611664295874823,1704.0,2.4238975817923185,37.77,-122.17,0.22429344558027664,1.9518779342723005
4.5568,38.0,4.452054794520548,0.9212328767123288,608.0,2.0821917808219177,37.48,-122.19,0.2069230769230769,2.1381578947368425
5.2957,18.0,6.483931947069944,1.0198487712665407,3205.0,3.02930056710775,38.09,-122.2,0.15728862973760932,2.1404056162246494
5.4496,17.0,6.180989978742788,1.0607348921955664,5805.830000000002,2.662617673853629,37.68,-121.73,0.17161245946742654,2.3213959854014603
3.8239,34.0,5.242703533026114,1.064516129032258,2223.0,3.414746543778802,34.21,-119.19,0.20304717257544683,1.5353126405757984
1.6716,32.0,4.577966101694916,1.2,1880.0,3.1864406779661016,33.94,-118.29,0.2621251388374676,1.4367021276595746
3.0139,32.0,5.651515151515151,1.0757575757575757,926.0,3.507575757575758,36.33,-119.61,0.1903485254691689,1.611231101511879
8.1611,4.0,8.394871794871795,0.982051282051282,1312.0,3.364102564102564,33.59,-117.64,0.1169822846670739,2.495426829268293
1.8633,17.0,4.514851485148514,1.0165016501650166,642.0,2.118811881188119,34.94,-120.47,0.2251461988304094,2.130841121495327
2.48,36.0,3.4804878048780488,1.0121951219512195,1835.0,4.475609756097561,34.09,-118.22,0.2908199018920813,0.7776566757493188
4.5192,52.0,5.582781456953643,1.0596026490066226,333.0,2.205298013245033,34.06,-118.37,0.18979833926453143,2.531531531531532
5.3096,47.0,5.588095238095238,1.0404761904761906,1219.0,2.9023809523809523,33.81,-118.2,0.18619514273540694,1.9253486464315013
2.3558,18.0,10.357033023735813,2.127540822838997,181.0,1.723809523809524,38.99,-122.7,0.20541991301593696,6.008223577305306
5.8625,8.0,6.724310776942356,1.0426065162907268,1154.0,2.892230576441103,35.64,-117.7,0.15505031680954154,2.324956672443674
4.4653,33.0,5.872909698996655,1.05685618729097,1971.0,3.2959866220735785,34.02,-117.98,0.17995444191343968,1.7818366311516995
4.9589,12.0,5.918275418275418,1.0566280566280566,4332.0,2.787644787644788,34.01,-117.81,0.17853647928672392,2.1230378578024007
5.5545,16.0,6.2075,1.1075,1357.0,3.3925,33.57,-117.66,0.1784132098268224,1.8297715549005156
4.3839,26.0,4.718518518518518,1.1981481481481482,1098.0,2.033333333333333,34.16,-118.46,0.25392464678178966,2.3205828779599273
5.2527,25.0,6.770491803278689,1.0102459016393444,1464.0,3.0,38.28,-122.04,0.1492130750605327,2.2568306010928962
3.6583,44.0,5.534328358208955,1.0955223880597016,976.0,2.9134328358208954,33.94,-118.31,0.19795037756202807,1.8995901639344264
4.2562,45.0,5.747448979591836,1.0994897959183674,1382.0,3.5255102040816326,37.71,-122.45,0.19130048823790502,1.630246020260492
2.7694,32.0,4.473007712082262,1.025706940874036,1563.0,4.017994858611825,36.76,-121.75,0.2293103448275862,1.1132437619961613
3.5652,16.0,6.192,1.18,605.0,2.42,39.05,-122.92,0.19056847545219638,2.5586776859504132
3.0495,16.0,5.413872832369942,1.0739884393063583,3073.0,3.552601156069364,32.59,-117.05,0.19837710869101002,1.5239179954441913
2.8569,52.0,4.703315881326352,1.1465968586387434,1243.0,2.169284467713787,37.78,-122.44,0.2437847866419295,2.168141592920354
2.76,26.0,5.520871143375681,1.08529945553539,1720.0,3.121597096188748,34.01,-117.45,0.19658119658119655,1.7686046511627906
1.9528,13.0,4.23142509135201,1.1291108404384895,2149.0,2.617539585870889,37.32,-120.49,0.2668393782383419,1.6165658445788742
1.9954,30.0,4.751141552511416,1.0410958904109588,1005.0,2.294520547945205,38.24,-122.04,0.21912542047092742,2.0706467661691548
1.5854,42.0,2.137089991589571,1.0782169890664424,3974.0,3.3423044575273337,34.06,-118.26,0.50452577725305,0.6394061399094112
4.8304,35.0,6.961956521739131,1.190217391304348,710.0,3.858695652173913,33.92,-118.32,0.17096018735362997,1.804225352112676
2.6561,14.0,3.076837416481069,1.066815144766147,5805.830000000002,3.785634743875278,33.75,-117.87,0.34672457473760404,0.8127665833210767
2.6214,7.0,5.491089108910892,1.0495049504950495,1374.0,2.720792079207921,37.4,-120.84,0.19112874143526862,2.018195050946143
4.1514,10.0,5.4706439393939394,1.053030303030303,2917.0,2.762310606060606,34.32,-118.46,0.1924874502336853,1.9804593760713063
6.2552,20.0,7.7313769751693,1.0112866817155757,1489.0,3.36117381489842,32.78,-116.95,0.1308029197080292,2.300201477501679
5.4386,33.0,6.178343949044586,1.0414012738853504,877.0,2.7929936305732483,37.28,-121.96,0.16855670103092785,2.2120866590649944
3.7614,14.0,9.363636363636363,2.127540822838997,813.0,1.5725338491295937,37.4,-122.01,0.22721309758474728,5.954489544895449
4.7019,14.0,6.143631436314363,0.962059620596206,1140.0,3.089430894308943,38.98,-121.06,0.15659461843846492,1.9885964912280703
3.2042,11.0,5.852713178294573,0.9870801033591732,1285.0,3.3204134366925064,36.07,-119.07,0.1686534216335541,1.7626459143968871
5.4741,24.0,6.587798845836768,1.0601813685078318,4017.0,3.3116240725474038,37.24,-121.84,0.16093104742835693,1.9892954941498626
4.4882,15.0,6.573264781491003,1.070694087403599,2418.0,3.107969151670951,38.28,-122.03,0.1628861947594838,2.1149710504549213
3.225,35.0,6.570093457943925,1.0934579439252337,290.0,2.710280373831776,38.04,-121.19,0.16642958748221906,2.424137931034483
6.0718,38.0,5.831932773109243,0.9411764705882352,412.0,3.46218487394958,33.93,-118.33,0.16138328530259366,1.6844660194174756
3.0608,22.0,4.750515463917526,1.0398625429553263,3794.0,2.6075601374570447,36.68,-121.79,0.2188946759259259,1.8218239325250396
4.9583,33.0,6.551532033426184,1.0389972144846795,995.0,2.7715877437325904,34.13,-118.03,0.15858843537414963,2.3638190954773872
6.7172,3.0,10.357033023735813,1.6179906542056075,2497.0,2.917056074766355,33.98,-117.76,0.15622144396928778,3.550508717788489
4.0568,16.0,5.281321184510251,1.071753986332574,2476.0,2.8200455580865604,34.27,-118.68,0.20293293077420746,1.872778675282714
3.4762,15.0,4.634099616858237,1.0306513409961686,1279.0,2.450191570881226,35.32,-120.84,0.22240595287308806,1.8913213448006254
2.5833,19.0,4.309153713298791,1.0967184801381693,1571.0,2.7132987910189983,37.7,-122.12,0.2545090180360722,1.588160407383832
4.125,34.0,4.283464566929134,0.8503937007874016,348.0,2.7401574803149606,33.21,-117.23,0.19852941176470587,1.5632183908045978
2.3305,52.0,3.488859764089122,1.1703800786369594,3018.0,3.955439056356488,33.78,-118.2,0.33546205860255446,0.8820410868124585
1.7067,49.0,4.304878048780488,1.0152439024390243,901.0,2.7469512195121952,33.98,-118.32,0.2358356940509915,1.567147613762486
1.8664,30.0,3.392857142857143,1.1321428571428571,1073.0,3.832142857142857,37.96,-122.36,0.3336842105263158,0.8853681267474371
5.3509,52.0,5.65067178502879,1.0287907869481765,1034.0,1.9846449136276392,37.81,-122.22,0.18206521739130435,2.8471953578336553
4.6053,30.0,4.467954345917471,1.0623353819139596,1935.0,1.6988586479367866,37.76,-122.44,0.2377677343289448,2.6299741602067184
4.2875,16.0,5.900462962962963,0.9907407407407408,1486.0,3.439814814814815,34.65,-120.47,0.1679089839152609,1.7153432032301479
2.037,42.0,4.497175141242938,1.1468926553672316,697.0,3.937853107344633,33.96,-118.27,0.2550251256281407,1.1420373027259685
2.5952,19.0,5.2384615384615385,1.0794871794871794,1018.0,2.6102564102564103,39.1,-121.48,0.20606950562897697,2.006876227897839
2.9219,38.0,4.205882352941177,0.9950980392156864,1250.0,5.394812032520327,34.27,-118.41,0.2365967365967366,0.7796161066572489
2.745,35.0,4.887096774193548,1.0053763440860215,1444.0,3.881720430107527,33.92,-118.27,0.20572057205720573,1.2590027700831024
4.9559,43.0,6.6923076923076925,1.0967032967032968,1115.0,2.4505494505494507,37.8,-122.2,0.1638752052545156,2.730941704035874
5.6949,21.0,6.402208201892744,0.943217665615142,2133.0,3.364353312302839,34.28,-118.67,0.1473269278147327,1.9029535864978901
2.555,36.0,5.598746081504702,1.0595611285266455,974.0,3.053291536050157,38.67,-121.37,0.1892497200447928,1.8336755646817247
3.1375,11.0,4.716374269005848,0.97953216374269,1617.0,4.728070175438597,36.86,-121.45,0.20768753874767515,0.9975262832405689
3.0089,44.0,4.738255033557047,1.1812080536912752,399.0,2.6778523489932886,34.27,-119.28,0.24929178470254962,1.769423558897243
5.5121,16.0,6.051612903225807,1.043010752688172,1305.0,2.806451612903226,37.26,-121.86,0.17235252309879173,2.1563218390804595
2.8421,25.0,3.747292418772563,1.0577617328519855,1060.0,1.9133574007220215,32.81,-117.26,0.2822736030828516,1.9584905660377359
3.175,11.0,5.476415094339623,1.0825471698113207,1373.0,3.2382075471698117,38.4,-121.35,0.19767441860465115,1.6911871813546975
1.9932,29.0,4.32994923857868,1.0532994923857868,990.0,2.512690355329949,38.47,-122.72,0.2432590855803048,1.7232323232323234
4.0227,10.0,6.346846846846847,1.117117117117117,782.0,3.5225225225225225,38.03,-121.3,0.17601135557132716,1.8017902813299234
4.2344,52.0,4.1656441717791415,0.8098159509202454,483.0,2.96319018404908,34.12,-118.19,0.19440353460972015,1.4057971014492754
2.5833,23.0,2.557640750670241,1.0455764075067024,804.0,2.155495978552279,33.81,-118.19,0.4088050314465409,1.1865671641791045
3.0184,15.0,4.30498177399757,1.0789793438639126,3131.0,3.804374240583232,34.07,-117.98,0.25063505503810335,1.1315873522836155
2.7857,21.0,6.132553606237817,1.1598440545808968,1580.0,3.0799220272904484,36.35,-119.09,0.18912905276541642,1.991139240506329
3.7262,36.0,5.01423487544484,0.9644128113879004,1002.0,3.565836298932384,37.61,-122.03,0.19233498935415186,1.4061876247504992
0.6775,52.0,1.7482866043613707,1.211214953271028,2232.0,1.3906542056074769,34.05,-118.25,0.6928011404133998,1.2571684587813619
6.4865,2.0,8.052670080468179,1.1331382589612289,4098.0,2.997805413313826,34.6,-118.16,0.1407158430232558,2.686188384577843
2.8679,44.0,4.951554591467824,1.1453362255965294,3269.0,2.363702096890817,37.75,-122.4,0.23130841121495327,2.094830223309881
6.4247,14.0,6.560196560196561,1.0466830466830468,1034.0,2.5405405405405403,33.07,-117.3,0.15955056179775282,2.58220502901354
1.5217,34.0,4.374509803921568,1.068627450980392,1568.0,3.074509803921569,32.97,-115.53,0.2442850739578664,1.422831632653061
5.9158,27.0,5.700996677740863,0.9634551495016612,817.0,2.7142857142857144,37.34,-122.0,0.16899766899766902,2.100367197062423
4.9,36.0,4.479338842975206,0.9834710743801652,231.0,1.9090909090909087,37.88,-122.18,0.21955719557195572,2.3463203463203466
1.1903,13.0,4.406914893617022,0.9627659574468084,1186.0,3.154255319148936,35.58,-119.35,0.21846710923355456,1.397133220910624
3.1848,43.0,4.946428571428571,0.9005102040816326,968.0,2.4693877551020407,38.11,-122.22,0.1820526044352759,2.003099173553719
1.7016,27.0,2.8199052132701423,1.2274881516587677,1795.0,4.253554502369668,34.07,-118.27,0.4352941176470588,0.6629526462395544
2.5147,11.0,10.357033023735813,2.127540822838997,713.0,2.7213740458015265,34.24,-116.82,0.20541991301593696,3.805810171414843
3.0917,48.0,4.939102564102564,1.0064102564102564,819.0,2.625,33.97,-118.31,0.20376378974691758,1.8815628815628815
2.7118,25.0,3.8410041841004174,1.2359832635983263,2723.0,2.2786610878661087,34.2,-118.47,0.32178649237472773,1.6856408373117882
3.7083,33.0,5.797687861271676,1.1011560693641618,1410.0,4.07514450867052,34.01,-117.97,0.18993020937188435,1.422695035460993
3.017,31.0,5.036559139784946,0.9440860215053763,1411.0,3.034408602150537,36.55,-119.38,0.18744662681468832,1.659815733522325
2.7816,21.0,3.50453720508167,1.0762250453720508,2773.0,2.516333938294011,34.09,-118.13,0.3070947695494562,1.3927154706094484
4.4491,19.0,6.369668246445498,1.1113744075829384,1216.0,2.881516587677725,38.01,-121.78,0.17447916666666666,2.210526315789474
3.3287,29.0,4.549295774647887,1.0704225352112675,1217.0,2.142605633802817,34.21,-118.23,0.23529411764705882,2.1232539030402626
4.8224,27.0,5.825072886297376,1.0291545189504374,970.0,2.82798833819242,38.67,-121.31,0.1766766766766767,2.05979381443299
2.8621,31.0,4.225108225108225,1.0194805194805194,936.0,2.0259740259740258,32.77,-117.2,0.24129098360655737,2.0854700854700856
